,District,confirmed,deceased,recovered
682,Chandauli,0.0,0.0,0.0
683,Chitrakoot,0.0,0.0,0.0
684,Deoria,0.0,0.0,2.0
685,Etah,0.0,0.0,0.0
686,Etawah,1.0,0.0,0.0
687,Farrukhabad,0.0,0.0,0.0
688,Fatehpur,0.0,0.0,0.0
689,Firozabad,0.0,0.0,0.0
690,Gautam Buddha Nagar,4.0,0.0,1.0
691,Ghaziabad,2.0,0.0,1.0
692,Ghazipur,1.0,0.0,0.0
693,Gonda,0.0,0.0,0.0
694,Gorakhpur,1.0,0.0,3.0
695,Hamirpur,0.0,0.0,0.0
696,Hapur,0.0,0.0,1.0
697,Hardoi,0.0,0.0,0.0
698,Hathras,0.0,0.0,0.0
699,Jalaun,0.0,0.0,0.0
700,Jaunpur,0.0,0.0,0.0
701,Jhansi,1.0,0.0,0.0
702,Kannauj,1.0,0.0,0.0
703,Kanpur Dehat,0.0,0.0,0.0
704,Kanpur Nagar,1.0,0.0,2.0
705,Kasganj,0.0,0.0,1.0
706,Kaushambi,0.0,0.0,0.0
707,Kushinagar,0.0,0.0,12.0
708,Lakhimpur Kheri,0.0,0.0,3.0
709,Lalitpur,0.0,0.0,0.0
710,Lucknow,2.0,0.0,7.0
711,Maharajganj,3.0,0.0,0.0
712,Mahoba,0.0,0.0,0.0
713,Mainpuri,1.0,1.0,0.0
714,Mathura,1.0,0.0,0.0
715,Mau,0.0,0.0,0.0
716,Meerut,1.0,0.0,3.0
717,Mirzapur,0.0,0.0,0.0
718,Moradabad,0.0,0.0,0.0
719,Muzaffarnagar,0.0,0.0,0.0
720,Pilibhit,0.0,0.0,0.0
721,Pratapgarh,0.0,0.0,0.0
722,Prayagraj,2.0,0.0,0.0
723,Rae Bareli,0.0,0.0,0.0
724,Rampur,2.0,0.0,0.0
725,Saharanpur,0.0,0.0,1.0
726,Sambhal,0.0,0.0,0.0
727,Sant Kabir Nagar,0.0,0.0,0.0
728,Shahjahanpur,0.0,0.0,0.0
729,Shamli,0.0,0.0,1.0
730,Shrawasti,0.0,0.0,0.0
731,Siddharthnagar,0.0,0.0,0.0
732,Sitapur,0.0,0.0,0.0
733,Sonbhadra,0.0,0.0,13.0
734,Sultanpur,0.0,0.0,0.0
735,Unnao,0.0,0.0,1.0
736,Varanasi,0.0,0.0,7.0
737,Almora,2.0,0.0,0.0
738,Bageshwar,8.0,0.0,4.0
739,Chamoli,4.0,0.0,1.0
740,Champawat,2.0,0.0,0.0
741,Dehradun,7.0,1.0,14.0
742,Haridwar,3.0,0.0,8.0
743,Nainital,2.0,0.0,2.0
744,Pauri Garhwal,1.0,0.0,5.0
745,Pithoragarh,6.0,0.0,2.0
746,Rudraprayag,2.0,0.0,4.0
747,Tehri Garhwal,0.0,0.0,0.0
748,Udham Singh Nagar,2.0,0.0,5.0
749,Uttarkashi,1.0,0.0,3.0
750,Alipurduar,16.0,0.0,18.0
751,Bankura,13.0,0.0,28.0
752,Birbhum,9.0,0.0,10.0
753,Cooch Behar,33.0,0.0,39.0
754,Dakshin Dinajpur,7.0,0.0,8.0
755,Darjeeling,71.0,0.0,73.0
756,Hooghly,28.0,0.0,43.0
757,Howrah,57.0,0.0,38.0
758,Jalpaiguri,37.0,0.0,46.0
759,Jhargram,8.0,0.0,24.0
760,Kalimpong,2.0,1.0,21.0
761,Kolkata,78.0,0.0,59.0
762,Malda,5.0,0.0,5.0
763,Murshidabad,2.0,0.0,4.0
764,Nadia,39.0,3.0,48.0
765,North 24 Parganas,89.0,1.0,88.0
766,Other State,0.0,0.0,0.0
767,Paschim Bardhaman,18.0,0.0,15.0
768,Paschim Medinipur,38.0,1.0,44.0
769,Purba Bardhaman,16.0,0.0,26.0
770,Purba Medinipur,53.0,0.0,50.0
771,Purulia,3.0,0.0,4.0
772,South 24 Parganas,63.0,0.0,46.0
773,Uttar Dinajpur,15.0,0.0,9.0
